Rank,Name,Year,Publisher,Global_Sales_Millions
1,Wii Sports,2006,Nintendo,82.74
2,Super Mario Bros.,1985,Nintendo,40.24
3,Mario Kart Wii,2008,Nintendo,35.82
4,Wii Sports Resort,2009,Nintendo,33
5,Pokemon Red/Pokemon Blue,1996,Nintendo,31.37
6,Tetris,1989,Nintendo,30.26
7,New Super Mario Bros.,2006,Nintendo,30.01
8,Wii Play,2006,Nintendo,29.02
9,New Super Mario Bros. Wii,2009,Nintendo,28.62
10,Duck Hunt,1984,Nintendo,28.31
11,Nintendogs,2005,Nintendo,24.76
12,Mario Kart DS,2005,Nintendo,23.42
13,Pokemon Gold/Pokemon Silver,1999,Nintendo,23.1
14,Wii Fit,2007,Nintendo,22.72
15,Wii Fit Plus,2009,Nintendo,22
16,Kinect Adventures!,2010,Microsoft Game Studios,21.82
19,Super Mario World,1990,Nintendo,20.61
20,Brain Age: Train Your Brain in Minutes a Day,2005,Nintendo,20.22
21,Pokemon Diamond/Pokemon Pearl,2006,Nintendo,18.36
22,Super Mario Land,1989,Nintendo,18.14
23,Super Mario Bros. 3,1988,Nintendo,17.28
26,Pokemon Ruby/Pokemon Sapphire,2002,Nintendo,15.85
27,Pokemon Black/Pokemon White,2010,Nintendo,15.32
28,Brain Age 2: More Training in Minutes a Day,2005,Nintendo,15.3
29,Gran Turismo 3: A-Spec,2001,Sony Computer Entertainment,14.98
31,Pokémon Yellow: Special Pikachu Edition,1998,Nintendo,14.64
33,Pokemon X/Pokemon Y,2013,Nintendo,14.35
40,Super Smash Bros. Brawl,2008,Nintendo,13.04
42,Animal Crossing: Wild World,2005,Nintendo,12.27
43,Mario Kart 7,2011,Nintendo,12.21
44,Halo 3,2007,Microsoft Game Studios,12.14
46,Pokemon HeartGold/Pokemon SoulSilver,2009,Nintendo,11.9
47,Super Mario 64,1996,Nintendo,11.89
48,Gran Turismo 4,2004,Sony Computer Entertainment,11.66
49,Super Mario Galaxy,2007,Nintendo,11.52
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014,Nintendo,11.33
51,Super Mario Land 2: 6 Golden Coins,1992,Nintendo,11.18
53,Gran Turismo,1997,Sony Computer Entertainment,10.95
54,Super Mario 3D Land,2011,Nintendo,10.79
55,Gran Turismo 5,2010,Sony Computer Entertainment,10.77
58,Super Mario All-Stars,1993,Nintendo,10.55
59,Pokemon FireRed/Pokemon LeafGreen,2004,Nintendo,10.49
60,Super Mario 64,2004,Nintendo,10.42
63,Halo: Reach,2010,Microsoft Game Studios,9.88
64,Mario Kart 64,1996,Nintendo,9.87
65,New Super Mario Bros. 2,2012,Nintendo,9.82
66,Halo 4,2012,Microsoft Game Studios,9.76
67,Final Fantasy VII,1997,Sony Computer Entertainment,9.72
70,Gran Turismo 2,1999,Sony Computer Entertainment,9.49
72,Donkey Kong Country,1994,Nintendo,9.3
73,Minecraft,2013,Microsoft Game Studios,9.2
74,Animal Crossing: New Leaf,2012,Nintendo,9.09
75,Mario Party DS,2007,Nintendo,9.02
77,Super Mario Kart,1992,Nintendo,8.76
79,Wii Party,2010,Nintendo,8.49
80,Halo 2,2004,Microsoft Game Studios,8.49
81,Mario Party 8,2007,Nintendo,8.42
82,Pokemon Black 2/Pokemon White 2,2012,Nintendo,8.33
85,GoldenEye 007,1997,Nintendo,8.09
87,Final Fantasy X,2001,Sony Computer Entertainment,8.05
89,Pokémon Platinum Version,2008,Nintendo,7.84
92,Super Mario Galaxy 2,2010,Nintendo,7.69
95,The Legend of Zelda: Ocarina of Time,1998,Nintendo,7.6
96,Crash Bandicoot 2: Cortex Strikes Back,1997,Sony Computer Entertainment,7.58
97,Super Mario Bros. 2,1988,Nintendo,7.46
98,Super Smash Bros. for Wii U and 3DS,2014,Nintendo,7.45
101,The Legend of Zelda: Twilight Princess,2006,Nintendo,7.31
106,Tekken 3,1998,Sony Computer Entertainment,7.16
107,Crash Bandicoot 3: Warped,1998,Sony Computer Entertainment,7.13
108,Super Smash Bros. Melee,2001,Nintendo,7.07
109,Mario Kart 8,2014,Nintendo,6.96
111,Mario Kart: Double Dash!!,2003,Nintendo,6.95
116,Uncharted 3: Drake's Deception,2011,Sony Computer Entertainment,6.83
117,Crash Bandicoot,1996,Sony Computer Entertainment,6.82
119,Gears of War 2,2008,Microsoft Game Studios,6.76
120,Uncharted 2: Among Thieves,2009,Sony Computer Entertainment,6.73
123,Big Brain Academy,2005,Nintendo,6.67
126,Donkey Kong Country Returns,2010,Nintendo,6.59
128,The Legend of Zelda,1986,Nintendo,6.51
130,Halo: Combat Evolved,2001,Microsoft Game Studios,6.43
131,Pokémon Emerald Version,2004,Nintendo,6.41
132,Kingdom Hearts,2002,Sony Computer Entertainment,6.4
133,Pokémon Crystal Version,2000,Nintendo,6.39
134,Halo 3: ODST,2009,Microsoft Game Studios,6.36
136,Super Mario Sunshine,2002,Nintendo,6.31
140,Kinect Sports,2010,Microsoft Game Studios,6.24
141,Gears of War 3,2011,Microsoft Game Studios,6.24
142,Gears of War,2006,Microsoft Game Studios,6.11
149,LittleBigPlanet,2008,Sony Computer Entertainment,5.92
150,Dragon Quest IX: Sentinels of the Starry Skies,2009,Nintendo,5.84
153,Tekken 2,1996,Sony Computer Entertainment,5.74
156,Tetris,1988,Nintendo,5.58
158,Super Smash Bros.,1999,Nintendo,5.55
161,Forza Motorsport 3,2009,Microsoft Game Studios,5.51
163,Super Mario Advance,2001,Nintendo,5.49
164,Mario Kart: Super Circuit,2001,Nintendo,5.47
165,Super Mario World,2001,Nintendo,5.46
166,Pokemon Stadium,1999,Nintendo,5.45
169,Minecraft,2014,Sony Computer Entertainment,5.42
171,Dr. Mario,1989,Nintendo,5.34
172,Pokemon Pinball,1999,Nintendo,5.31
176,Donkey Kong 64,1999,Nintendo,5.27
178,Professor Layton and the Curious Village,2007,Nintendo,5.26
183,Super Mario Bros. 3,2003,Nintendo,5.2
184,New Super Mario Bros. U,2012,Nintendo,5.19
185,Super Mario Land 3: Wario Land,1994,Nintendo,5.19
187,The Legend of Zelda: Phantom Hourglass,2007,Nintendo,5.17
188,Donkey Kong Country 2: Diddy's Kong Quest,1995,Nintendo,5.15
189,Tomodachi Life,2013,Nintendo,5.15
192,Kirby's Dream Land,1992,Nintendo,5.13
193,Fable III,2010,Microsoft Game Studios,5.13
195,Microsoft Flight Simulator,1996,Microsoft Game Studios,5.12
201,Super Mario Bros.,1999,Nintendo,5.07
204,Super Smash Bros. for Wii U and 3DS,2014,Nintendo,5.02
206,Spyro the Dragon,1998,Sony Computer Entertainment,5
207,Link's Crossbow Training,2007,Nintendo,5
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,2007,Nintendo,4.96
211,Uncharted: Drake's Fortune,2007,Sony Computer Entertainment,4.94
214,Diddy Kong Racing,1997,Nintendo,4.88
216,Dr. Mario,1990,Nintendo,4.85
217,God of War III,2010,Sony Computer Entertainment,4.84
221,Crash Team Racing,1999,Sony Computer Entertainment,4.79
227,Animal Crossing: City Folk,2008,Nintendo,4.68
229,Forza Motorsport 4,2011,Microsoft Game Studios,4.64
232,The Legend of Zelda: A Link to the Past,1991,Nintendo,4.61
233,The Legend of Zelda: The Wind Waker,2002,Nintendo,4.6
235,Luigi's Mansion: Dark Moon,2013,Nintendo,4.58
236,Splatoon,2015,Nintendo,4.57
237,The Last of Us,2014,Sony Computer Entertainment,4.55
244,Uncharted: The Nathan Drake Collection,2015,Sony Computer Entertainment,4.47
246,God of War,2005,Sony Computer Entertainment,4.45
247,Nintendo Land,2012,Nintendo,4.44
252,Zelda II: The Adventure of Link,1987,Nintendo,4.38
254,Resistance: Fall of Man,2006,Sony Computer Entertainment,4.35
260,Fable II,2008,Microsoft Game Studios,4.31
261,Halo 5: Guardians,2015,Microsoft Game Studios,4.26
262,Super Mario 3D World,2013,Nintendo,4.25
267,Daxter,2006,Sony Computer Entertainment,4.22
269,The Legend of Zelda: Ocarina of Time,2011,Nintendo,4.21
271,EyeToy Play,2003,Sony Computer Entertainment,4.2
272,Uncharted 4: A Thief's End,2016,Sony Computer Entertainment,4.2
273,Gran Turismo 5 Prologue,2007,Sony Computer Entertainment,4.2
278,Excitebike,1984,Nintendo,4.16
283,Super Mario World 2: Yoshi's Island,1995,Nintendo,4.12
285,The Legend of Zelda: Skyward Sword,2011,Nintendo,4.1
291,God of War II,2007,Sony Computer Entertainment,4.07
292,Forza Motorsport 2,2007,Microsoft Game Studios,4.06
294,Namco Museum Vol.3,1996,Sony Computer Entertainment,4.05
297,Star Fox 64,1997,Nintendo,4.03
299,Golf,1984,Nintendo,4.01
301,Professor Layton and the Diabolical Box,2007,Nintendo,4
306,Donkey Kong Land,1994,Nintendo,3.91
309,Monster Hunter 4 Ultimate,2014,Nintendo,3.89
310,MotorStorm,2006,Sony Computer Entertainment,3.88
314,Sports Champions,2010,Sony Computer Entertainment,3.87
317,Flash Focus: Vision Training in Minutes a Day,2007,Nintendo,3.84
318,Namco Museum Vol.1,1995,Sony Computer Entertainment,3.84
319,The Legend of Zelda: Link's Awakening,1992,Nintendo,3.83
320,Mario & Luigi: Bowser's Inside Story,2009,Nintendo,3.83
321,Big Brain Academy: Wii Degree,2007,Nintendo,3.82
322,Nintendogs + cats,2011,Nintendo,3.81
327,Ratchet & Clank: Size Matters,2007,Sony Computer Entertainment,3.77
330,Super Paper Mario,2007,Nintendo,3.76
334,Spyro: Year of the Dragon,2000,Sony Computer Entertainment,3.71
336,Pokémon Trading Card Game,1998,Nintendo,3.7
339,Friend Collection,2009,Nintendo,3.67
342,Banjo-Kazooie,1998,Nintendo,3.65
343,SOCOM: U.S. Navy SEALs,2002,Sony Computer Entertainment,3.65
345,Gran Turismo 6,2013,Sony Computer Entertainment,3.64
346,Jak and Daxter: The Precursor Legacy,2001,Sony Computer Entertainment,3.64
347,Pokemon Snap,1999,Nintendo,3.63
357,Luigi's Mansion,2001,Nintendo,3.6
362,The Getaway,2002,Sony Computer Entertainment,3.54
369,Spyro 2: Ripto's Rage!,1999,Sony Computer Entertainment,3.52
373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,1996,Nintendo,3.51
375,Kung Fu,1985,Nintendo,3.5
377,Clubhouse Games,2006,Nintendo,3.5
388,LittleBigPlanet 2,2011,Sony Computer Entertainment,3.42
392,F-1 Race,1990,Nintendo,3.41
394,Crash Bash,2000,Sony Computer Entertainment,3.39
397,The Legend of Zelda: Spirit Tracks,2009,Nintendo,3.38
399,The Legend of Zelda: Majora's Mask,2000,Nintendo,3.36
400,Professor Layton and the Unwound Future,2008,Nintendo,3.36
403,English Training: Have Fun Improving Your Skills!,2006,Nintendo,3.33
405,Ratchet & Clank,2002,Sony Computer Entertainment,3.33
406,Mario Party 9,2012,Nintendo,3.32
413,Wii Music,2008,Nintendo,3.27
414,Gran Turismo (PSP),2009,Sony Computer Entertainment,3.27
416,Tekken,1995,Sony Computer Entertainment,3.24
420,Yokai Watch 2 Ganso/Honke,2014,Nintendo,3.22
422,Baseball,1983,Nintendo,3.2
423,Killer Instinct,1995,Nintendo,3.2
426,God of War: Chains of Olympus,2008,Sony Computer Entertainment,3.19
430,Super Mario Maker,2015,Nintendo,3.18
433,Rhythm Heaven,2008,Nintendo,3.17
436,Animal Crossing,2001,Nintendo,3.15
440,Halo: The Master Chief Collection,2014,Microsoft Game Studios,3.15
444,Star Wars Episode I Racer,1999,Nintendo,3.12
445,Personal Trainer: Cooking,2006,Nintendo,3.12
448,Heavy Rain,2010,Sony Computer Entertainment,3.12
455,The Legend of Zelda: A Link Between Worlds,2013,Nintendo,3.07
456,Donkey Kong,1994,Nintendo,3.07
464,Killzone 2,2009,Sony Computer Entertainment,3.02
466,Mike Tyson's Punch-Out!!,1987,Nintendo,3.02
468,Gears of War: Ultimate Edition,2015,Microsoft Game Studios,3
473,Star Fox,1993,Nintendo,2.99
477,Animal Crossing: Happy Home Designer,2015,Nintendo,2.98
482,Kirby Super Star Ultra,2008,Nintendo,2.96
485,Wave Race 64,1996,Nintendo,2.94
486,SOCOM II: U.S. Navy SEALs,2003,Sony Computer Entertainment,2.94
488,inFAMOUS,2009,Sony Computer Entertainment,2.94
490,Mass Effect,2007,Microsoft Game Studios,2.93
491,WarioWare: Smooth Moves,2006,Nintendo,2.92
493,Super Mario World 2: Yoshi's Island,2002,Nintendo,2.91
500,Hot Shots Golf 3,2001,Sony Computer Entertainment,2.89
503,Syphon Filter,1999,Sony Computer Entertainment,2.88
510,F-Zero,1990,Nintendo,2.85
511,Yoshi's Story,1997,Nintendo,2.85
520,Metroid Prime,2002,Nintendo,2.82
527,Yoshi's Island DS,2006,Nintendo,2.8
528,Hot Shots Golf,1997,Sony Computer Entertainment,2.79
529,Killzone 3,2011,Sony Computer Entertainment,2.79
530,A Bug's Life,1998,Sony Computer Entertainment,2.79
536,Professor Layton and the Last Specter,2009,Nintendo,2.79
537,Monster Hunter Tri,2011,Nintendo,2.79
538,Jak II,2003,Sony Computer Entertainment,2.78
539,inFAMOUS: Second Son,2014,Sony Computer Entertainment,2.78
540,Ratchet & Clank: Going Commando,2003,Sony Computer Entertainment,2.78
546,Mario Paint,1992,Nintendo,2.75
548,Pokémon Stadium 2,2000,Nintendo,2.73
549,Metroid,1986,Nintendo,2.73
552,The Legend of Zelda: A Link to the Past,2002,Nintendo,2.7
555,Mario Party,1998,Nintendo,2.7
559,Mario vs. Donkey Kong: Mini-Land Mayhem!,2010,Nintendo,2.69
569,Fable,2004,Microsoft Game Studios,2.66
574,Super Mario Bros.: The Lost Levels,1986,Nintendo,2.65
575,Star Wars: Shadows of the Empire,1996,Nintendo,2.65
578,Pac-Man: Adventures in Time,2006,Sony Computer Entertainment,2.63
579,Halo Wars,2009,Microsoft Game Studios,2.63
580,God of War Collection,2009,Sony Computer Entertainment,2.63
582,Mario Strikers Charged,2007,Nintendo,2.62
586,Style Savvy,2008,Nintendo,2.61
588,Super Mario All-Stars: Limited Edition,2010,Nintendo,2.6
591,Ratchet & Clank Future: Tools of Destruction,2007,Sony Computer Entertainment,2.59
593,LittleBigPlanet,2009,Sony Computer Entertainment,2.58
594,Killzone: Shadow Fall,2013,Sony Computer Entertainment,2.58
598,Ratchet & Clank: Up Your Arsenal,2004,Sony Computer Entertainment,2.57
599,Art Academy,2010,Nintendo,2.57
605,Pokémon Colosseum,2003,Nintendo,2.54
610,Perfect Dark,2000,Nintendo,2.52
616,Mario Party 2,1999,Nintendo,2.5
621,Resistance 2,2008,Sony Computer Entertainment,2.48
627,Mario Party 4,2002,Nintendo,2.47
632,Twisted Metal 2,1996,Sony Computer Entertainment,2.44
633,Halo: Combat Evolved Anniversary,2011,Microsoft Game Studios,2.44
639,Ice Hockey,1988,Nintendo,2.42
642,ATV Offroad Fury,2001,Sony Computer Entertainment,2.41
644,Minecraft,2014,Microsoft Game Studios,2.41
648,Pro Wrestling,1987,Nintendo,2.4
660,Kinect: Disneyland Adventures,2011,Microsoft Game Studios,2.38
662,Bloodborne,2015,Sony Computer Entertainment,2.38
671,Kinect Sports: Season Two,2011,Microsoft Game Studios,2.36
672,Kirby's Dream Land 2,1995,Nintendo,2.36
674,Donkey Kong Land II,1996,Nintendo,2.35
682,The Legend of Zelda: Majora's Mask 3D,2015,Nintendo,2.32
685,Mario Tennis,2000,Nintendo,2.32
688,WarioWare Touched!,2004,Nintendo,2.31
694,Pokemon Ranger: Shadows of Almia,2008,Nintendo,2.3
697,God of War: Ascension,2013,Sony Computer Entertainment,2.29
702,Mario Bros.,1983,Nintendo,2.28
707,Paper Mario: Sticker Star,2012,Nintendo,2.27
710,Kirby: Nightmare in Dream Land,2002,Nintendo,2.27
711,Wario Land 4,2001,Nintendo,2.26
718,Paper Mario: The Thousand-Year Door,2004,Nintendo,2.25
720,Monster Hunter Tri,2009,Nintendo,2.25
727,New Super Luigi U,2013,Nintendo,2.22
730,The Legend of Zelda: Link's Awakening DX,1998,Nintendo,2.22
738,Wario Land 3,2000,Nintendo,2.2
745,Kirby's Pinball Land,1992,Nintendo,2.19
746,Donkey Kong Country,2000,Nintendo,2.19
750,Forza Motorsport 5,2013,Microsoft Game Studios,2.18
752,Pokemon Ranger,2006,Nintendo,2.18
753,Mario & Luigi: Superstar Saga,2003,Nintendo,2.17
755,Star Wars: Rogue Squadron,1998,Nintendo,2.17
756,Tennis,1984,Nintendo,2.17
759,Syphon Filter 2,2000,Sony Computer Entertainment,2.15
761,Volleyball,1987,Nintendo,2.15
764,Super Mario RPG: Legend of the Seven Stars,1996,Nintendo,2.14
765,Mahjong,1983,Nintendo,2.14
766,R.C. Pro-Am,1988,Nintendo,2.14
770,Tetris DS,2006,Nintendo,2.13
775,Kirby's Epic Yarn,2010,Nintendo,2.12
776,Project Gotham Racing,2001,Microsoft Game Studios,2.12
777,Golf,1989,Nintendo,2.12
783,Mario Sports Mix,2010,Nintendo,2.11
789,Project Gotham Racing (JP weekly sales),2002,Microsoft Game Studios,2.1
805,Mario Party 5,2003,Nintendo,2.08
818,Pokemon Mystery Dungeon: Red/Blue Rescue Team,2005,Nintendo,2.06
822,Mario & Luigi: Dream Team,2013,Nintendo,2.06
826,Pokémon Mystery Dungeon: Blue Rescue Team,2005,Nintendo,2.05
830,PGR4 - Project Gotham Racing 4,2007,Microsoft Game Studios,2.05
832,Dance Central 2,2011,Microsoft Game Studios,2.04
834,SOCOM: U.S. Navy SEALs: Combined Assault,2006,Sony Computer Entertainment,2.04
836,Donkey Kong Country,2003,Nintendo,2.04
839,1080°: TenEighty Snowboarding,1998,Nintendo,2.03
845,Forza Horizon,2012,Microsoft Game Studios,2.02
849,Fire Emblem: Awakening,2012,Nintendo,2
850,DriveClub,2014,Sony Computer Entertainment,2
851,Super Street Fighter II,1993,Nintendo,2
854,Tennis,1989,Nintendo,1.99
857,SimCity,1991,Nintendo,1.98
868,Hot Shots Golf: Open Tee,2004,Sony Computer Entertainment,1.96
869,Rad Racer,1986,Nintendo,1.96
870,Soccer,1985,Nintendo,1.96
871,Kirby Squeak Squad,2006,Nintendo,1.96
882,Alleyway,1989,Nintendo,1.94
884,Jet Moto 2,1997,Sony Computer Entertainment,1.94
891,Tetris DX,1998,Nintendo,1.93
894,Mario Super Sluggers,2008,Nintendo,1.93
896,The Legend of Zelda: Oracle of Ages,2001,Nintendo,1.92
902,PaRappa The Rapper,1996,Sony Computer Entertainment,1.92
904,Mario Party 3,2000,Nintendo,1.91
913,Yokai Watch,2013,Nintendo,1.89
914,Ratchet & Clank Future: A Crack in Time,2009,Sony Computer Entertainment,1.88
917,Hot Shots Golf 2,1999,Sony Computer Entertainment,1.88
921,Star Fox Adventures,2002,Nintendo,1.87
924,Donkey Kong Country Returns,2013,Nintendo,1.87
925,The Legend of Zelda: Oracle of Seasons,2001,Nintendo,1.86
928,The Legend of Dragoon,1999,Sony Computer Entertainment,1.86
930,SingStar,2004,Sony Computer Entertainment,1.86
931,LittleBigPlanet 3,2014,Sony Computer Entertainment,1.86
936,Mario Party: Island Tour,2013,Nintendo,1.85
937,Jak 3,2004,Sony Computer Entertainment,1.85
940,Pinball,1984,Nintendo,1.85
941,inFAMOUS 2,2011,Sony Computer Entertainment,1.85
945,"Hey You, Pikachu!",1998,Nintendo,1.83
948,Jet Moto,1996,Sony Computer Entertainment,1.83
952,Air Combat,1995,Sony Computer Entertainment,1.83
953,Kirby: Triple Deluxe,2014,Nintendo,1.82
957,Metroid Prime 3: Corruption,2007,Nintendo,1.82
958,Dragon Quest VI: Realms of Revelation,2010,Nintendo,1.81
963,Sly 2: Band of Thieves,2004,Sony Computer Entertainment,1.81
971,Beyond: Two Souls,2013,Sony Computer Entertainment,1.79
972,Kinect Star Wars,2012,Microsoft Game Studios,1.78
976,The Getaway: Black Monday,2004,Sony Computer Entertainment,1.78
977,Professor Layton and the Mask of Miracle,2011,Nintendo,1.78
980,The Legend of Zelda: The Wind Waker,2013,Nintendo,1.77
983,Wii Party U,2013,Nintendo,1.77
986,Kirby 64: The Crystal Shards,2000,Nintendo,1.77
987,Dead or Alive 3,2001,Microsoft Game Studios,1.77
989,Metroid II: Return of Samus,1991,Nintendo,1.76
992,Golden Sun,2001,Nintendo,1.76
994,Kid Icarus,1986,Nintendo,1.76
1009,Crackdown,2007,Microsoft Game Studios,1.75
1010,Yoshi,1991,Nintendo,1.75
1012,Kirby's Adventure,1993,Nintendo,1.75
1020,Forza Motorsport 6,2015,Microsoft Game Studios,1.74
1022,Cruis'n USA,1996,Nintendo,1.74
1025,Uncharted: Golden Abyss,2011,Sony Computer Entertainment,1.74
1035,The Order: 1886,2015,Sony Computer Entertainment,1.72
1048,Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,2006,Nintendo,1.71
1054,Personal Trainer: Math,2007,Nintendo,1.7
1055,Kirby's Return to Dreamland,2011,Nintendo,1.7
1059,SOCOM 3: U.S. Navy SEALs,2005,Sony Computer Entertainment,1.69
1063,Jampack Winter '99,1999,Sony Computer Entertainment,1.69
1076,NFL GameDay 98,1997,Sony Computer Entertainment,1.68
1078,Yoshi's Cookie,1992,Nintendo,1.68
1083,Metroid Fusion,2002,Nintendo,1.68
1095,PGR: Project Gotham Racing 2,2003,Microsoft Game Studios,1.67
1100,Heavenly Sword,2007,Sony Computer Entertainment,1.66
1109,Mario Party 6,2004,Nintendo,1.65
1110,Super Scope 6,1991,Nintendo,1.65
1115,Kirby & the Amazing Mirror,2004,Nintendo,1.64
1123,Kinectimals,2010,Microsoft Game Studios,1.64
1126,Viva Pinata,2006,Microsoft Game Studios,1.63
1127,Pikmin,2001,Nintendo,1.63
1131,Ape Escape,1999,Sony Computer Entertainment,1.63
1138,Mario Hoops 3 on 3,2006,Nintendo,1.62
1139,Kirby Air Ride,2003,Nintendo,1.62
1141,Pokemon Battle Revolution,2006,Nintendo,1.61
1143,Gears of War: Judgment,2013,Microsoft Game Studios,1.61
1144,Baseball,1989,Nintendo,1.61
1146,Super Mario Strikers,2005,Nintendo,1.61
1147,Buzz! The Music Quiz,2005,Sony Computer Entertainment,1.61
1162,The Legend of Zelda: Twilight Princess,2006,Nintendo,1.59
1163,Soul Edge,1996,Sony Computer Entertainment,1.59
1174,Jampack Summer 2K,2000,Sony Computer Entertainment,1.58
1180,Pokemon Mystery Dungeon: Explorers of Sky,2009,Nintendo,1.58
1185,Mario Party 7,2005,Nintendo,1.57
1189,Donkey Kong Classics,1988,Nintendo,1.56
1190,Twisted Metal,1995,Sony Computer Entertainment,1.56
1194,Pokemon Pinball: Ruby & Sapphire,2003,Nintendo,1.56
1209,Mario Party 10,2015,Nintendo,1.55
1210,Dead Rising 3,2013,Microsoft Game Studios,1.54
1212,Fire Emblem Fates,2015,Nintendo,1.54
1213,Dark Cloud,2000,Sony Computer Entertainment,1.54
1227,Mario Golf: Toadstool Tour,2003,Nintendo,1.53
1229,Donkey Kong Country: Tropical Freeze,2014,Nintendo,1.52
1235,F1 Race,1984,Nintendo,1.52
1254,Resistance 3,2011,Sony Computer Entertainment,1.5
1262,Ice Climber,1985,Nintendo,1.5
1269,Final Fantasy: Crystal Chronicles,2003,Nintendo,1.49
1273,Banjo-Tooie,2000,Nintendo,1.49
1274,Buzz! The BIG Quiz,2006,Sony Computer Entertainment,1.49
1277,New Play Control! Mario Power Tennis,2009,Nintendo,1.48
1280,Nintendo World Cup,1990,Nintendo,1.48
1282,Wario Land II,1997,Nintendo,1.48
1290,Mario Golf,1999,Nintendo,1.47
1298,LittleBigPlanet PS Vita,2012,Sony Computer Entertainment,1.47
1310,Mario Superstar Baseball,2005,Nintendo,1.46
1316,LEGO City Undercover,2013,Nintendo,1.46
1326,4 Nin uchi Mahjong,1984,Nintendo,1.45
1335,SingStar Pop,2007,Sony Computer Entertainment,1.44
1338,Kirby Super Star,1996,Nintendo,1.44
1341,Kinect Joy Ride,2010,Microsoft Game Studios,1.44
1353,Classic NES Series: Super Mario Bros.,2004,Nintendo,1.43
1359,The Legend of Zelda: The Minish Cap,2004,Nintendo,1.42
1362,Super Metroid,1994,Nintendo,1.42
1366,Inazuma Eleven 2,2009,Nintendo,1.42
1375,Ridge Racer,2004,Sony Computer Entertainment,1.41
1376,Metroid: Other M,2010,Nintendo,1.41
1378,Gran Turismo 4 Prologue,2003,Sony Computer Entertainment,1.41
1379,Twisted Metal: Black,2001,Sony Computer Entertainment,1.41
1384,2Xtreme,1996,Sony Computer Entertainment,1.4
1403,Paper Mario,2000,Nintendo,1.38
1404,Bravely Default: Flying Fairy,2012,Nintendo,1.38
1418,Forza Horizon 2,2014,Microsoft Game Studios,1.37
1419,MotorStorm: Pacific Rift,2008,Sony Computer Entertainment,1.37
1423,Pocket Monsters Stadium,1998,Nintendo,1.37
1428,SingStar Abba,2008,Sony Computer Entertainment,1.36
1432,Yoshi's New Island,2014,Nintendo,1.36
1433,Ryse: Son of Rome,2013,Microsoft Game Studios,1.36
1444,Alan Wake,2010,Microsoft Game Studios,1.35
1454,SingStar Party,2004,Sony Computer Entertainment,1.35
